Date,Name,Year,Letterboxd URI
2026-01-24,One Battle After Another,2025,https://boxd.it/DUHM
2026-01-24,Parasite,2019,https://boxd.it/hTha
2026-01-24,La La Land,2016,https://boxd.it/a5fa
2026-01-24,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2026-01-24,Forrest Gump,1994,https://boxd.it/728
2026-01-24,Black Swan,2010,https://boxd.it/Sw0
2026-01-24,Saltburn,2023,https://boxd.it/z4eg
2026-01-24,Inglourious Basterds,2009,https://boxd.it/1JzG
2026-01-24,(500) Days of Summer,2009,https://boxd.it/1EmM
2026-01-24,Gone Girl,2014,https://boxd.it/6hQu
2026-01-24,Call Me by Your Name,2017,https://boxd.it/dYmm
2026-01-24,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O
2026-01-24,The Godfather,1972,https://boxd.it/2aNK
2026-01-24,Django Unchained,2012,https://boxd.it/2cCk
2026-01-24,Taxi Driver,1976,https://boxd.it/2b8y
2026-01-24,Past Lives,2023,https://boxd.it/oNB8
2026-01-24,Conclave,2024,https://boxd.it/AO8q
2026-01-24,Blade Runner 2049,2017,https://boxd.it/b8wK
2026-01-24,Prisoners,2013,https://boxd.it/4E5i
2026-01-24,Aftersun,2022,https://boxd.it/Arw0
2026-01-24,GoodFellas,1990,https://boxd.it/29FA
2026-01-24,The Breakfast Club,1985,https://boxd.it/27q4
2026-01-24,Beautiful Boy,2018,https://boxd.it/g76Q
2026-01-24,Oldboy,2003,https://boxd.it/29R2
2026-01-24,Mulholland Drive,2001,https://boxd.it/297o
2026-01-24,Dunkirk,2017,https://boxd.it/d0Y6
2026-01-24,Eyes Wide Shut,1999,https://boxd.it/2axs
2026-01-24,About Time,2013,https://boxd.it/43bI
2026-01-24,Blade Runner,1982,https://boxd.it/2bcA
2026-01-24,The Godfather Part II,1974,https://boxd.it/2aNq
2026-01-24,Trainspotting,1996,https://boxd.it/29XY
2026-01-24,A Complete Unknown,2024,https://boxd.it/oBYa
2026-01-24,Stand by Me,1986,https://boxd.it/2aOe
2026-01-24,Manchester by the Sea,2016,https://boxd.it/b2L0
2026-01-24,The Worst Person in the World,2021,https://boxd.it/oyws
2026-01-24,American Beauty,1999,https://boxd.it/71Y
2026-01-24,The Zone of Interest,2023,https://boxd.it/gJsA
2026-01-24,The Brutalist,2024,https://boxd.it/k4BO
2026-01-24,The Hateful Eight,2015,https://boxd.it/8gw8
2026-01-24,Moonrise Kingdom,2012,https://boxd.it/2Wng
2026-01-24,Perfect Days,2023,https://boxd.it/ATh8
2026-01-24,Full Metal Jacket,1987,https://boxd.it/2a1Q
2026-01-24,I'm Still Here,2024,https://boxd.it/BPEO
2026-01-24,The Fabelmans,2022,https://boxd.it/ugoM
2026-01-24,Normal People,2020,https://boxd.it/q2VY
2026-01-24,Cinema Paradiso,1988,https://boxd.it/1UlA
2026-01-24,Amadeus,1984,https://boxd.it/2aH8
2026-01-24,Blue Valentine,2010,https://boxd.it/MxG
2026-01-24,Into the Wild,2007,https://boxd.it/22m2
2026-01-24,Breakfast at Tiffany's,1961,https://boxd.it/2aYS
2026-01-24,A Beautiful Mind,2001,https://boxd.it/2amk
2026-01-24,Love & Other Drugs,2010,https://boxd.it/UIi
2026-01-24,Meet Joe Black,1998,https://boxd.it/2aEI
2026-01-24,Million Dollar Baby,2004,https://boxd.it/2bdI
2026-01-24,Once Upon a Time in America,1984,https://boxd.it/2aCs
2026-01-24,Scent of a Woman,1992,https://boxd.it/1YAu
2026-01-24,Gran Torino,2008,https://boxd.it/1Qzy
2026-01-24,Demolition,2015,https://boxd.it/9GuY
2026-01-24,La Dolce Vita,1960,https://boxd.it/2anC
2026-01-24,Annie Hall,1977,https://boxd.it/29M2
2026-01-24,Manhattan,1979,https://boxd.it/29Na
2026-01-24,Il Sorpasso,1962,https://boxd.it/1y7Q
2026-01-24,Amarcord,1973,https://boxd.it/20NA
2026-01-24,The King's Speech,2010,https://boxd.it/dX0
2026-01-24,La Haine,1995,https://boxd.it/2as8
2026-01-24,Nightcrawler,2014,https://boxd.it/780m
2026-01-24,Thelma & Louise,1991,https://boxd.it/28Ew
2026-01-24,Four Weddings and a Funeral,1994,https://boxd.it/29KA
2026-01-24,Dances with Wolves,1990,https://boxd.it/2a4K
2026-01-24,American Pastoral,2016,https://boxd.it/aDU2
2026-01-24,Slap the Monster on Page One,1972,https://boxd.it/2ehy
2026-01-24,Investigation of a Citizen Above Suspicion,1970,https://boxd.it/1tRY
