Date,Name,Year,Letterboxd URI
2026-01-24,"Paris, Texas",1984,https://boxd.it/29Ts
2026-01-24,It's a Wonderful Life,1946,https://boxd.it/28xA
2026-02-03,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2026-02-03,Lawrence of Arabia,1962,https://boxd.it/2wRE
2026-02-06,"Oslo, August 31st",2011,https://boxd.it/2xQC
2026-02-25,The Florida Project,2017,https://boxd.it/dMG0
2026-03-27,Requiem for a Dream,2000,https://boxd.it/29VI
2026-03-27,8½,1963,https://boxd.it/2aqm
2026-05-04,Nocturnal Animals,2016,https://boxd.it/bkFu
2026-05-04,Little Tailor,2010,https://boxd.it/4OMQ
2026-05-04,The Sheltering Sky,1990,https://boxd.it/1yuK
2026-05-04,Nostalgia,1983,https://boxd.it/28Qi
2026-05-04,The Working Class Goes to Heaven,1971,https://boxd.it/pCe
2026-05-04,One Way or Another,1976,https://boxd.it/Lyo
2026-05-04,Red Desert,1964,https://boxd.it/1ttW
2026-05-04,The Mule,2018,https://boxd.it/idcY
2026-05-04,As Good as It Gets,1997,https://boxd.it/268y
2026-05-04,Kramer vs. Kramer,1979,https://boxd.it/h0w
2026-05-04,All of Us Strangers,2023,https://boxd.it/Bz3C
2026-05-04,The Menu,2022,https://boxd.it/lScm
2026-05-04,There Will Be Blood,2007,https://boxd.it/20Z2
2026-05-05,Last Tango in Paris,1972,https://boxd.it/28pw
2026-05-17,Licorice Pizza,2021,https://boxd.it/qTKY
2026-05-17,Blue Velvet,1986,https://boxd.it/29BI
2026-05-17,Bugonia,2025,https://boxd.it/qeWY
2026-06-01,2046,2004,https://boxd.it/29tu
2026-06-01,Lost in Translation,2003,https://boxd.it/2b0E
2026-06-01,Drive,2011,https://boxd.it/IG
2026-06-10,No Country for Old Men,2007,https://boxd.it/21ew
