Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-11-10,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/58uapn,3,,,2023-11-09
2023-11-10,Chicken Run,2000,https://boxd.it/58vBWP,4,,,2023-11-09
2023-11-11,The Pirates! In an Adventure with Scientists!,2012,https://boxd.it/58PlaF,3,,,2023-11-11
2023-11-11,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/58Rda7,4,,,2023-11-11
2023-11-12,Fantastic Mr. Fox,2009,https://boxd.it/59cwjp,5,,,2023-11-12
2023-11-13,Isle of Dogs,2018,https://boxd.it/59Ayep,4,,,2023-11-13
2023-11-14,The Grand Budapest Hotel,2014,https://boxd.it/59TuIX,5,,,2023-11-14
2023-11-17,Antz,1998,https://boxd.it/5aKyJr,3,,,2023-11-17
2023-11-18,EVANGELION: DEATH (TRUE)²,1998,https://boxd.it/5b2fuN,3,,,2023-11-18
2023-11-20,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/5bOksN,4.5,,,2023-11-20
2023-11-21,The Darjeeling Limited,2007,https://boxd.it/5c7tmd,3.5,,,2023-11-21
2023-11-22,Hotel Transylvania: Transformania,2022,https://boxd.it/5ckK13,1.5,,,2023-11-21
2023-11-22,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/5crkJ3,2.5,,,2023-11-22
2023-11-23,Sinbad: Legend of the Seven Seas,2003,https://boxd.it/5cGuzn,3.5,,,2023-11-22
2023-11-23,Ghost in the Shell,1995,https://boxd.it/5cJ0mz,3.5,,,2023-11-23
2023-11-24,The House,2022,https://boxd.it/5d0c6d,3,,,2023-11-23
2023-11-25,The Wrong Trousers,1993,https://boxd.it/5dfSej,3.5,,,2023-11-24
2023-11-25,"Monsters, Inc.",2001,https://boxd.it/5dlPHJ,4,,,2023-11-25
2023-11-26,Ghost in the Shell 2: Innocence,2004,https://boxd.it/5dKGRv,3.5,,,2023-11-26
2023-11-27,A Matter of Loaf and Death,2008,https://boxd.it/5e8qQT,3.5,,,2023-11-26
2023-11-27,A Grand Day Out,1989,https://boxd.it/5e9es3,3,,,2023-11-27
