Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-06-09,Fra,,https://boxd.it/HKqsK,

Position,Name,Year,URL,Description
1,Back to the Future Part III,1990,https://boxd.it/2aTS,
2,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,
3,Palm Springs,2020,https://boxd.it/lCXQ,
4,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
5,Black Swan,2010,https://boxd.it/Sw0,
6,The Black Phone,2021,https://boxd.it/sqFE,
7,Talk to Me,2022,https://boxd.it/C6uQ,
8,The Babadook,2014,https://boxd.it/77xu,
9,Old,2021,https://boxd.it/npKI,
10,Volver,2006,https://boxd.it/2aQO,
11,Crimson Peak,2015,https://boxd.it/62Ty,
12,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,
13,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1PcS,
14,Beetlejuice,1988,https://boxd.it/24QI,
15,The Butterfly Effect,2004,https://boxd.it/27M0,
16,"Girl, Interrupted",1999,https://boxd.it/25ds,
