Date,Name,Year,Letterboxd URI
2023-11-23,Gremlins,1984,https://boxd.it/29gg
2023-11-23,The Triplets of Belleville,2003,https://boxd.it/1Y6Y
2023-11-23,The Illusionist,2010,https://boxd.it/ZWY
2023-12-22,Paranoia Agent,2004,https://boxd.it/lPy0
2023-12-23,RocknRolla,2008,https://boxd.it/1PmI
2023-12-23,Revolver,2005,https://boxd.it/1VeA
2024-01-05,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2024-01-10,Dumbo,1941,https://boxd.it/1U2o
2024-01-19,The Rescuers Down Under,1990,https://boxd.it/1Uya
2024-02-08,Green Street Hooligans,2005,https://boxd.it/1ZA6
2024-03-21,The Imaginarium of Doctor Parnassus,2009,https://boxd.it/20DA
2024-04-04,Serial Experiments Lain,1998,https://boxd.it/hYQE
2024-04-09,The Thin Red Line,1998,https://boxd.it/1ZTM
2024-04-13,Léon: The Professional,1994,https://boxd.it/2b8S
2024-04-13,Monkey Man,2024,https://boxd.it/kvsO
2024-04-14,The Party,1968,https://boxd.it/1VnC
2024-04-15,Insomnia,2002,https://boxd.it/2aB0
2024-04-15,Miami Vice,2006,https://boxd.it/2bbW
2024-04-16,The Iron Claw,2023,https://boxd.it/w5Pm
2024-04-16,White Boy Rick,2018,https://boxd.it/fAwG
2024-04-16,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G
2024-04-16,Memories of Murder,2003,https://boxd.it/1TSo
2024-04-21,The Tenant,1976,https://boxd.it/1TKk
2024-04-23,The Butterfly Effect,2004,https://boxd.it/27M0
2024-05-21,The Card Counter,2021,https://boxd.it/nTH0
2024-05-21,Tokyo Story,1953,https://boxd.it/1HuY
2024-05-21,Metropolis,1927,https://boxd.it/71a
2024-05-22,American Animals,2018,https://boxd.it/hE4K
2024-05-22,Pig,2021,https://boxd.it/nzoW
2024-05-22,Red Eye,2005,https://boxd.it/1TNy
2024-05-22,My Life as a Zucchini,2016,https://boxd.it/dL2y
2024-05-22,Total Recall,1990,https://boxd.it/29qK
2024-05-22,The Holdovers,2023,https://boxd.it/vHza
2024-05-25,ODDTAXI,2021,https://boxd.it/vTy4
2024-05-27,Jarhead,2005,https://boxd.it/70m
2024-05-27,Analyze This,1999,https://boxd.it/1Yr8
2024-05-28,Ghost Cat Anzu,2024,https://boxd.it/CYvI
2024-06-08,Beetlejuice,1988,https://boxd.it/24QI
2024-06-08,Frankenweenie,2012,https://boxd.it/bPS
2024-06-12,The Tragedy of Macbeth,2021,https://boxd.it/lMi4
2024-06-12,The Equalizer,2014,https://boxd.it/4TUK
2024-06-12,Philadelphia,1993,https://boxd.it/1XMk
2024-06-12,Silence,2016,https://boxd.it/2cAo
2024-06-15,Hot Fuzz,2007,https://boxd.it/2416
2024-08-06,Bottle Rocket,1996,https://boxd.it/1PDa
2024-08-09,My Friends,1975,https://boxd.it/1CI2
2024-08-12,A Walk in Time,1996,https://boxd.it/WWm
2024-08-13,Mad God,2021,https://boxd.it/vVPm
2024-08-14,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2024-08-24,Glory,1989,https://boxd.it/1Y6u
2024-08-25,The Tatami Galaxy,2010,https://boxd.it/oL50
2024-08-25,FLCL,2000,https://boxd.it/bWtG
2024-08-25,Welcome to the N-H-K,2006,https://boxd.it/py6G
2024-09-06,Honeymoon Trips,1995,https://boxd.it/ocO
2024-09-06,Midnight Cowboy,1969,https://boxd.it/25Hi
2024-09-06,Small Soldiers,1998,https://boxd.it/1TzQ
2024-09-06,The Animatrix,2003,https://boxd.it/qH0
2024-09-08,Investigation of a Citizen Above Suspicion,1970,https://boxd.it/1tRY
2024-09-08,Amarcord,1973,https://boxd.it/20NA
2024-09-08,The Conversation,1974,https://boxd.it/2a38
2024-09-08,Suspiria,1977,https://boxd.it/1SNW
2024-09-08,The Elephant Man,1980,https://boxd.it/27LQ
2024-09-08,The Fugitive,1993,https://boxd.it/230G
2024-09-09,Persona,1966,https://boxd.it/29B4
2024-09-10,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1PcS
2024-09-10,ParaNorman,2012,https://boxd.it/2FuY
2024-09-11,Dressed to Kill,1980,https://boxd.it/1UO8
2024-09-12,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo
