Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-10-23,Drive,2011,https://boxd.it/52oPmN,4,,,2023-10-22
2023-10-23,American Psycho,2000,https://boxd.it/52oPz3,3.5,,,2023-10-22
2023-10-23,Nightcrawler,2014,https://boxd.it/52oPIf,5,,,2023-10-22
2023-10-23,Demolition,2015,https://boxd.it/52oQ59,5,,,2023-10-22
2023-10-23,Fight Club,1999,https://boxd.it/52oTHb,3.5,,,2023-10-22
2023-10-23,Good Time,2017,https://boxd.it/52oU3L,4.5,,,2023-10-22
2023-10-23,Uncut Gems,2019,https://boxd.it/52oUmj,5,,,2023-10-22
2023-10-23,Forrest Gump,1994,https://boxd.it/52oUIT,5,,,2023-10-22
2023-10-23,The Shining,1980,https://boxd.it/52oVvB,4,,,2023-10-22
2023-10-23,First Man,2018,https://boxd.it/52oYaL,4,,,2023-10-22
2023-10-23,Get Out,2017,https://boxd.it/52oYAJ,,,,2023-10-22
2023-10-23,The Place Beyond the Pines,2012,https://boxd.it/52oZp3,4.5,,,2023-10-22
2023-10-23,Punch-Drunk Love,2002,https://boxd.it/52oZML,3.5,,,2023-10-22
2023-10-23,The Imitation Game,2014,https://boxd.it/52p1IL,4,,,2023-10-22
2023-10-23,Whiplash,2014,https://boxd.it/52p2Mf,5,,,2023-10-22
2023-10-23,Black Swan,2010,https://boxd.it/52p357,3.5,,,2023-10-22
2023-10-23,No Country for Old Men,2007,https://boxd.it/52p3r3,4.5,,,2023-10-22
2023-10-23,Gone Girl,2014,https://boxd.it/52p437,4,,,2023-10-22
2023-10-23,The Grand Budapest Hotel,2014,https://boxd.it/52p5zt,4.5,,,2023-10-22
2023-10-23,Se7en,1995,https://boxd.it/52p7sJ,5,,,2023-10-22
2023-10-23,Parasite,2019,https://boxd.it/52p8eD,4.5,,,2023-10-22
2023-10-23,Triangle of Sadness,2022,https://boxd.it/52p945,4.5,,,2023-10-22
2023-10-23,Interstellar,2014,https://boxd.it/52pbxj,5,,,2023-10-22
2023-10-23,Inception,2010,https://boxd.it/52pclD,4,,,2023-10-22
2023-10-23,Call Me by Your Name,2017,https://boxd.it/52pcJv,4,,,2023-10-22
2023-10-23,The Batman,2022,https://boxd.it/52pd2d,4,,,2023-10-22
2023-10-23,Good Will Hunting,1997,https://boxd.it/52pdcd,3.5,,,2023-10-22
2023-10-23,La Haine,1995,https://boxd.it/52pdt9,3,,,2023-10-22
2023-10-23,Easy!,2011,https://boxd.it/52pdHv,4.5,,,2023-10-22
2023-10-23,The Social Network,2010,https://boxd.it/52pe5d,5,,,2023-10-22
2023-10-23,Shutter Island,2010,https://boxd.it/52pgmb,4.5,,,2023-10-22
2023-10-23,Baby Driver,2017,https://boxd.it/52pgFn,2.5,,,2023-10-22
2023-10-23,The Wolf of Wall Street,2013,https://boxd.it/52phnz,5,,,2023-10-22
2023-10-23,Joker,2019,https://boxd.it/52phCT,4.5,,,2023-10-22
2023-10-23,Scarface,1983,https://boxd.it/52phZj,2,,,2023-10-22
2023-10-23,Memories of Murder,2003,https://boxd.it/52pivp,1.5,,,2023-10-22
2023-10-23,The Florida Project,2017,https://boxd.it/52piMP,2,,,2023-10-22
2023-10-23,Beautiful Boy,2018,https://boxd.it/52piVx,4.5,,,2023-10-22
2023-10-23,American Beauty,1999,https://boxd.it/52pjjp,2,,,2023-10-22
2023-10-23,Zodiac,2007,https://boxd.it/52pktF,3.5,,,2023-10-22
2023-10-23,Into the Wild,2007,https://boxd.it/52pkJD,3.5,,,2023-10-22
2023-10-23,The Killing of a Sacred Deer,2017,https://boxd.it/52pldD,4,,,2023-10-22
2023-10-23,Breaking2,2017,https://boxd.it/52posV,4.5,,,2023-10-22
2023-10-23,Free Solo,2018,https://boxd.it/52poI5,4.5,,,2023-10-22
2023-10-23,Nocturnal Animals,2016,https://boxd.it/52ppl7,4.5,,,2023-10-22
2023-10-23,The Truman Show,1998,https://boxd.it/52pqwF,4.5,,,2023-10-22
2023-10-23,Senna,2010,https://boxd.it/52pqNV,5,,,2023-10-22
2023-10-23,Untrapped: The Story of Lil Baby,2022,https://boxd.it/52pr1D,5,,,2023-10-22
2023-10-23,Inglourious Basterds,2009,https://boxd.it/52prpl,3.5,,,2023-10-22
2023-10-23,Miss Stevens,2016,https://boxd.it/52prK9,4,,,2023-10-22
2023-10-23,White Boy Rick,2018,https://boxd.it/52psib,4,,,2023-10-22
2023-10-23,Catch Me If You Can,2002,https://boxd.it/52psGx,4.5,,,2023-10-22
2023-10-23,(500) Days of Summer,2009,https://boxd.it/52pt37,3.5,,,2023-10-22
2023-10-23,The Best Offer,2013,https://boxd.it/52ptrX,4.5,,,2023-10-22
2023-10-23,Corner Office,2022,https://boxd.it/52ptPZ,3,,,2023-10-22
2023-10-23,Oppenheimer,2023,https://boxd.it/52rbDb,2,,,2023-10-22
2024-12-03,Longlegs,2024,https://boxd.it/7XmXgX,3,,,2024-12-02
2024-12-03,La La Land,2016,https://boxd.it/7XmXs5,5,,,2024-12-02
2024-12-03,Anora,2024,https://boxd.it/7XmZzx,3,,,2024-12-02
2024-12-03,The Night Clerk,2020,https://boxd.it/7XmZYR,2.5,,,2024-12-02
2024-12-03,Vertigo,1958,https://boxd.it/7Xn0f9,2.5,,,2024-12-02
2024-12-03,The Substance,2024,https://boxd.it/7Xn0AV,1.5,,,2024-12-02
2024-12-03,The Whale,2022,https://boxd.it/7Xn0Pr,1.5,,,2024-12-02
2024-12-03,Challengers,2024,https://boxd.it/7Xn1eh,4,,,2024-12-02
2024-12-03,Everything Everywhere All at Once,2022,https://boxd.it/7Xn1Kn,3,,,2024-12-02
2024-12-03,The Martian,2015,https://boxd.it/7Xn251,3.5,,,2024-12-02
2024-12-03,The Eight Mountains,2022,https://boxd.it/7Xn2GB,3.5,,,2024-12-02
2024-12-03,Martin Eden,2019,https://boxd.it/7Xn2VV,4,,,2024-12-02
2024-12-03,American Animals,2018,https://boxd.it/7Xn3Th,3.5,,,2024-12-02
2024-12-03,Foxcatcher,2014,https://boxd.it/7Xn4bl,3.5,,,2024-12-02
2024-12-03,Nocturnal Animals,2016,https://boxd.it/7Xn4yz,4.5,Yes,,2024-12-02
2024-12-03,Sound of Metal,2019,https://boxd.it/7Xn4Qj,3.5,,,2024-12-02
2024-12-03,Charlie and the Chocolate Factory,2005,https://boxd.it/7Xn5Iv,4,,,2024-12-02
2024-12-03,Lady Bird,2017,https://boxd.it/7Xn6hZ,3.5,,,2024-12-02
2024-12-03,Wonka,2023,https://boxd.it/7Xn6st,,,,2024-12-02
