Date,Name,Year,Letterboxd URI,Rating
2023-10-23,Demolition,2015,https://boxd.it/9GuY,5
2023-10-23,Uncut Gems,2019,https://boxd.it/gXGc,5
2023-10-23,Good Time,2017,https://boxd.it/fcFu,4.5
2023-10-23,Forrest Gump,1994,https://boxd.it/728,5
2023-10-23,Drive,2011,https://boxd.it/IG,4
2023-10-23,First Man,2018,https://boxd.it/cPym,4
2023-10-23,The Place Beyond the Pines,2012,https://boxd.it/3mDu,4.5
2023-10-23,Punch-Drunk Love,2002,https://boxd.it/20E4,3.5
2023-10-23,The Imitation Game,2014,https://boxd.it/6aig,4
2023-10-23,Whiplash,2014,https://boxd.it/7bQA,5
2023-10-23,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2023-10-23,Se7en,1995,https://boxd.it/29zs,5
2023-10-23,Triangle of Sadness,2022,https://boxd.it/hXlq,4.5
2023-10-23,Interstellar,2014,https://boxd.it/4VZ8,5
2023-10-23,La La Land,2016,https://boxd.it/a5fa,5
2023-10-23,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2023-10-23,Call Me by Your Name,2017,https://boxd.it/dYmm,4
2023-10-23,Easy!,2011,https://boxd.it/2K7K,4.5
2023-10-23,The Batman,2022,https://boxd.it/eDGs,4
2023-10-23,The Wolf of Wall Street,2013,https://boxd.it/3C1m,5
2023-10-23,Joker,2019,https://boxd.it/h4cS,4.5
2023-10-23,Memories of Murder,2003,https://boxd.it/1TSo,1.5
2023-10-23,Beautiful Boy,2018,https://boxd.it/g76Q,4.5
2023-10-23,American Beauty,1999,https://boxd.it/71Y,2
2023-10-23,Zodiac,2007,https://boxd.it/27MO,3.5
2023-10-23,Into the Wild,2007,https://boxd.it/22m2,3.5
2023-10-23,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,4
2023-10-23,Nocturnal Animals,2016,https://boxd.it/bkFu,4.5
2023-10-23,The Truman Show,1998,https://boxd.it/18U8,4.5
2023-10-23,Senna,2010,https://boxd.it/kfE,5
2023-10-23,Untrapped: The Story of Lil Baby,2022,https://boxd.it/Asza,5
2023-10-23,Miss Stevens,2016,https://boxd.it/bBq2,4
2023-10-23,Inglourious Basterds,2009,https://boxd.it/1JzG,3.5
2023-10-23,White Boy Rick,2018,https://boxd.it/fAwG,4
2023-10-23,Catch Me If You Can,2002,https://boxd.it/29VS,4.5
2023-10-23,Scarface,1983,https://boxd.it/2b7g,2
2024-12-03,Fight Club,1999,https://boxd.it/2a9q,3.5
2024-12-03,The Shining,1980,https://boxd.it/29Nu,4
2024-12-03,American Psycho,2000,https://boxd.it/28Vs,3.5
2024-12-03,Nightcrawler,2014,https://boxd.it/780m,5
2024-12-03,The Social Network,2010,https://boxd.it/17ue,5
2024-12-03,Breaking2,2017,https://boxd.it/ghVO,4.5
2024-12-03,Free Solo,2018,https://boxd.it/iEEq,4.5
2024-12-03,The Best Offer,2013,https://boxd.it/4Oh4,4.5
2024-12-03,(500) Days of Summer,2009,https://boxd.it/1EmM,3.5
2024-12-03,Longlegs,2024,https://boxd.it/KzLM,3
2024-12-03,La Haine,1995,https://boxd.it/2as8,3
2024-12-03,Vertigo,1958,https://boxd.it/2apI,2.5
