Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-10-23,Demolition,2015,https://boxd.it/52oQ59,5,,11/10,,2023-10-22
2023-10-23,Forrest Gump,1994,https://boxd.it/52oUIT,5,,10/10,,2023-10-22
2023-10-23,Get Out,2017,https://boxd.it/52oYAJ,,,0/10,,2023-10-22
2023-10-23,The Batman,2022,https://boxd.it/52pd2d,4,,Miglior Batman Ever,,2023-10-22
2023-10-23,Shutter Island,2010,https://boxd.it/52pgmb,4.5,,is it better to live a monster or die a good man,,2023-10-22
2023-10-23,White Boy Rick,2018,https://boxd.it/52psib,4,,holy underrated,,2023-10-22
2023-10-23,Oppenheimer,2023,https://boxd.it/52rbDb,2,,Trama interessantissima raccontata in modo lento e over complicato senza motivo,,2023-10-22
2024-12-03,Anora,2024,https://boxd.it/7XmZzx,3,,"Cringe acting, nice ending.",,2024-12-02
2024-12-03,The Substance,2024,https://boxd.it/7Xn0AV,1.5,,Belle immagini ma il messaggio che ti vuole lasciare non viene giustificato in alcun modo. Film inutile.,,2024-12-02
2024-12-03,Challengers,2024,https://boxd.it/7Xn1eh,4,,best of 2024,,2024-12-02
2025-04-10,In the Mood for Love,2000,https://boxd.it/9mNPHX,4.5,,movie about the unsaid,,2025-04-09
2025-04-11,The Perks of Being a Wallflower,2012,https://boxd.it/9ndaCf,5,,nostalgia,,2025-04-10
2025-04-11,The House That Jack Built,2018,https://boxd.it/9nuBy9,,,0/10 - the worst movie I have ever seen in my life,,2025-04-11
2026-03-01,Marty Supreme,2025,https://boxd.it/dl8jsn,4,,Hanno buttato troppa carne sul fuoco. Timothee robbed del oscar. Finale stupendo.,,2026-02-28
2026-03-25,Project Hail Mary,2026,https://boxd.it/dF7bNb,1.5,,"Wall-e ci bastava come film, Interstellar clears. Film bambinesco con un ex grande attore che un tempo aveva una reputazione prima di inettarsi più botox di Vladimir Luxuria.",,2026-03-24
2026-04-04,Paddington,2014,https://boxd.it/dP3aW9,4,,timelessly funny and a boost of kindness is always needed,,2026-04-04
2026-05-13,Sentimental Value,2025,https://boxd.it/ekMS7D,1.5,Yes,"Film completamente sbagliato. Lento e depresso inutilmente. Cerca di farci empatizzare con la protagonista che si comporta da vittima per 2 ore, quando lei stessa è la prima ad auto sabotarsi. Stimola rabbia, non compassione.",,2026-05-12
2026-05-13,Sinners,2025,https://boxd.it/ekMUFd,2.5,Yes,"Twilight con belle immagini, niente di più.",,2026-05-12
2026-05-13,The Drama,2026,https://boxd.it/ekMYfN,4.5,Yes,Empathy - best of 2026,,2026-05-12
2026-05-13,Eyes Wide Shut,1999,https://boxd.it/ekNgZp,2.5,,Overrated is an understatement,,2026-05-12
2026-06-09,Kill Bill: Vol. 1,2003,https://boxd.it/eIcz5H,3,,"John Wick fatto bene?… nono non voglio essere così negativo per una volta. Anime fatto a film? decisamente si e va preso come tale (molte scene sono volutamente caricature nei suoni e montaggio, da alcuni considerate eccessive da altri apprezzate) . L’ho sempre considerato privo di trama ma devo dire che rivedendolo con occhi diversi l’ho rivalutato, è semplicemente il patrimonio stilistico iper condensato che un regista (con manie di protagonismo/ complessi di inferiorità) ha voluto lasciare in eredità al mondo (= stile sopra il contenuto, trame carenti ma intrattenenti). Se avessi dovuto aspettare un anno per vedere la parte due non l’avrei vista sicuramente ma avendocela a disposizione lo continuerò con piacere.",,2026-06-08
2026-06-10,Kill Bill: Vol. 2,2004,https://boxd.it/eINf65,2.5,,mid,,2026-06-09
2026-06-15,Ex Machina,2015,https://boxd.it/eMU7VJ,5,,best movie on AI,,2026-06-14
2026-06-15,Prisoners,2013,https://boxd.it/eNo9p1,5,,best thriller ever made and it’s not even close,,2026-06-14
2026-06-22,Decision to Leave,2022,https://boxd.it/eTpUjF,4,,"Che film… ok wook potrebbe essere il migliore regista contemporane. Vertigo pare una storiella a confronto, Hitchcock a catena. Manca un pò di effetto drammatico e tensione, per il resto nulla da dire.",,2026-06-22
2026-06-22,No Other Choice,2025,https://boxd.it/eTpXf7,3.5,,"Trama dimenticabile, regia come al solito top. Temi importanti e contemporanei aggiungono molto al film.",,2026-06-22
