Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-09-05,The Godfather,1972,https://boxd.it/27gILL,5,Yes,,2021-09-05
2024-03-18,The Boy and the Heron,2023,https://boxd.it/64z9gr,5,Yes,,2024-03-17
2025-02-05,The Birds,1963,https://boxd.it/8JCZ1f,4.5,,,2025-02-05
2025-02-08,Strangers on a Train,1951,https://boxd.it/8LHmt3,5,,,2025-02-08
2025-02-12,Sergio Leone: The Italian Who Invented America,2022,https://boxd.it/8NWLNP,4,,,2025-02-11
2025-02-13,Mystic River,2003,https://boxd.it/8OEbOl,5,,,2025-02-12
2025-02-18,In the Mood for Love,2000,https://boxd.it/8Sdyc7,4.5,,,2025-02-18
2025-02-22,The Wrong Man,1956,https://boxd.it/8Uivh7,4,,,2025-02-21
2025-02-27,Portrait of a Lady on Fire,2019,https://boxd.it/8Xzw3V,4,,,2025-02-26
2025-02-27,Dial M for Murder,1954,https://boxd.it/8XQEtB,5,,,2025-02-27
2025-03-08,12 Angry Men,1957,https://boxd.it/93w5Rx,4,,,2025-03-08
2025-03-12,Mickey 17,2025,https://boxd.it/96gJOX,4,,,2025-03-12
2025-03-28,eXistenZ,1999,https://boxd.it/9fhTUz,5,,,2025-03-27
2025-03-30,The Menu,2022,https://boxd.it/9gz5H1,3.5,,,2025-03-30
2025-04-02,Videodrome,1983,https://boxd.it/9igUPZ,,,,2025-04-01
2025-04-02,Crimes of the Future,2022,https://boxd.it/9igVmT,,,,2025-04-01
2025-04-04,Escape from Alcatraz,1979,https://boxd.it/9jhfGj,,,,2025-04-04
2025-04-04,Tokyo Godfathers,2003,https://boxd.it/9jhgzt,5,,,2025-04-04
2025-04-08,Mulholland Drive,2001,https://boxd.it/9lGWXZ,5,,,2025-04-07
2025-05-01,Sinners,2025,https://boxd.it/9zc8jL,3.5,,,2025-05-01
2025-05-15,The Long Goodbye,1973,https://boxd.it/9HjFQJ,,,,2025-05-15
2025-05-26,Hannah and Her Sisters,1986,https://boxd.it/9NYYmp,4.5,,,2025-05-26
2025-05-31,Bananas,1971,https://boxd.it/9R1WcP,3.5,,,2025-05-31
2025-06-04,The Terrace,1980,https://boxd.it/9TTBvn,3.5,,,2025-06-04
2025-06-05,Dogville,2003,https://boxd.it/9UdCif,4.5,,,2025-06-05
2025-06-10,The Phoenician Scheme,2025,https://boxd.it/9XlXLl,4,,,2025-06-10
2025-06-19,L.A. Confidential,1997,https://boxd.it/a2Ylxt,4.5,,,2025-06-19
2025-06-19,L.A. Confidential,1997,https://boxd.it/a2YuoF,4.5,Yes,,2025-06-19
2025-07-11,Ghost in the Shell,1995,https://boxd.it/ahRZH5,,,,2025-07-11
2025-07-19,La La Land,2016,https://boxd.it/anWhSd,4.5,,,2025-07-19
2025-07-20,Some Like It Hot,1959,https://boxd.it/aoIFxp,,,,2025-07-20
2025-07-20,Some Like It Hot,1959,https://boxd.it/aoJg1F,,Yes,,2025-07-20
2025-07-21,The Apartment,1960,https://boxd.it/apkXld,,,,2025-07-20
2025-07-21,Spaceballs,1987,https://boxd.it/apmCN5,,,,2025-07-20
2025-07-24,In Bruges,2008,https://boxd.it/arUZt9,4,,,2025-07-23
2025-07-25,F1,2025,https://boxd.it/asRAkz,2.5,,,2025-07-25
2025-07-26,Challengers,2024,https://boxd.it/atezB1,2.5,,,2025-07-25
2025-07-26,The Night of the Hunter,1955,https://boxd.it/atCtQH,5,,,2025-07-26
2025-07-27,Fantastic Mr. Fox,2009,https://boxd.it/au4CMb,4.5,,,2025-07-26
2025-07-30,Witness for the Prosecution,1957,https://boxd.it/awQDo9,5,,,2025-07-29
2025-08-07,High and Low,1963,https://boxd.it/aDlBoH,,,,2025-08-06
2025-08-08,Brazil,1985,https://boxd.it/aE6zOH,,,,2025-08-07
2025-08-10,The World's End,2013,https://boxd.it/aFizpb,3.5,,,2025-08-09
2025-09-18,Knives Out,2019,https://boxd.it/b6myBL,4.5,,,2025-09-18
2025-09-20,Thief,1981,https://boxd.it/b7nuy5,,,,2025-09-20
2025-09-22,Grave of the Fireflies,1988,https://boxd.it/b8qCMp,,,,2025-09-20
2025-09-26,One Battle After Another,2025,https://boxd.it/bb2hm5,,,,2025-09-26
2025-10-15,Battle Royale,2000,https://boxd.it/bn5jq3,,,,2025-10-14
2025-10-25,Bugonia,2025,https://boxd.it/btFfIj,,,,2025-10-25
2025-11-06,Pierrot le Fou,1965,https://boxd.it/bCfmuH,,,,2025-11-06
2025-12-06,Angel's Egg,1985,https://boxd.it/bWD1z5,,,,2025-12-06
2025-12-17,BlacKkKlansman,2018,https://boxd.it/c4H1HN,,,,2025-12-16
2025-12-26,Three Days of the Condor,1975,https://boxd.it/ceBa0r,,,,2025-12-26
2026-01-01,The Widower,1959,https://boxd.it/clTt4L,,,,2026-01-01
2026-01-16,Memories,1995,https://boxd.it/cEkiQP,,,,2026-01-14
2026-02-13,No Other Choice,2025,https://boxd.it/d64mAL,,,,2026-01-27
2026-02-13,The Notebook,2004,https://boxd.it/d64dcv,,,,2026-02-12
2026-02-13,Wuthering Heights,2026,https://boxd.it/d6yDKt,,,,2026-02-12
2026-02-13,Manhattan,1979,https://boxd.it/d6zfRx,,,,2026-02-13
2026-02-20,Dead Man's Wire,2025,https://boxd.it/ddeQQR,,,,2026-02-19
2026-02-20,Burning,2018,https://boxd.it/ddm9eV,,,,2026-02-20
2026-02-21,Nightcrawler,2014,https://boxd.it/ded9Qh,,,,2026-02-21
2026-02-24,Civil War,2024,https://boxd.it/dgSgHh,,,,2026-02-23
2026-02-24,Palombella rossa,1989,https://boxd.it/dhrqrX,,,,2026-02-24
2026-03-01,Dear Diary,1993,https://boxd.it/dllSBZ,,,,2026-03-01
2026-03-02,Aprile,1998,https://boxd.it/dmsfYt,,,,2026-03-02
2026-03-03,Breathless,1960,https://boxd.it/dngsQ3,,,,2026-03-03
2026-03-08,Trading Places,1983,https://boxd.it/dqWp2v,,,,2026-03-08
2026-03-09,The Last of the Mohicans,1992,https://boxd.it/drV3pJ,,,,2026-03-09
2026-03-17,Barry Lyndon,1975,https://boxd.it/dyqRY1,,Yes,,2026-03-16
2026-03-23,Project Hail Mary,2026,https://boxd.it/dDNCyt,,,,2026-03-23
2026-04-09,Dancer in the Dark,2000,https://boxd.it/dTZLYt,,,,2026-04-09
2026-04-12,Blow Out,1981,https://boxd.it/dWdb1r,,,,2026-04-12
2026-04-13,Punch-Drunk Love,2002,https://boxd.it/dXCtp1,,,,2026-04-13
2026-04-14,Before the Devil Knows You're Dead,2007,https://boxd.it/dYrBDx,,,,2026-04-14
2026-04-16,Irma la Douce,1963,https://boxd.it/dZBEFF,,,,2026-04-16
2026-04-22,Before Sunrise,1995,https://boxd.it/e4iGtj,,,,2026-04-21
2026-04-25,The Fortune Cookie,1966,https://boxd.it/e6x7Gb,4.5,,,2026-04-25
2026-04-29,Long Day's Journey Into Night,2018,https://boxd.it/e9PaWp,,,,2026-04-29
2026-05-06,Taste of Cherry,1997,https://boxd.it/efXb31,,,,2026-05-06
2026-05-11,Resurrection,2025,https://boxd.it/ejJGh7,,,,2026-05-11
2026-05-13,Millennium Actress,2001,https://boxd.it/ekZeT9,4.5,,,2026-05-12
2026-05-18,Nope,2022,https://boxd.it/epfmFx,3.5,,,2026-05-18
2026-05-26,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/evmej7,,,,2026-05-25
2026-06-19,Disclosure Day,2026,https://boxd.it/eQCt6N,3.5,,,2026-06-18
2026-06-21,Decision to Leave,2022,https://boxd.it/eSnx2N,5,,,2026-06-21
