Date,Name,Year,Letterboxd URI
2021-09-05,The Godfather,1972,https://boxd.it/2aNK
2021-09-05,The Godfather Part II,1974,https://boxd.it/2aNq
2021-09-05,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape
2021-09-05,Once Upon a Time in the West,1968,https://boxd.it/2az4
2021-09-05,"Duck, You Sucker",1971,https://boxd.it/2ayU
2021-09-05,Apocalypse Now,1979,https://boxd.it/6ZS
2021-09-05,The Conversation,1974,https://boxd.it/2a38
2021-09-05,Casino,1995,https://boxd.it/2ads
2021-09-05,Raging Bull,1980,https://boxd.it/28yI
2021-09-05,GoodFellas,1990,https://boxd.it/29FA
2021-09-05,The Departed,2006,https://boxd.it/28MA
2021-09-05,The Irishman,2019,https://boxd.it/dYOq
2021-09-05,Shutter Island,2010,https://boxd.it/1U82
2021-09-05,The Terminator,1984,https://boxd.it/2aQY
2021-09-05,Parasite,2019,https://boxd.it/hTha
2021-09-05,Snowpiercer,2013,https://boxd.it/3Icg
2021-09-05,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O
2021-09-05,Inglourious Basterds,2009,https://boxd.it/1JzG
2021-09-05,Jackie Brown,1997,https://boxd.it/2aVO
2021-09-05,Django Unchained,2012,https://boxd.it/2cCk
2021-09-05,The Big Lebowski,1998,https://boxd.it/2b6C
2021-09-05,Fargo,1996,https://boxd.it/2aHM
2021-09-05,No Country for Old Men,2007,https://boxd.it/21ew
2021-09-05,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q
2021-09-05,Big Fish,2003,https://boxd.it/2a3M
2021-09-05,The Dark Knight,2008,https://boxd.it/2b0k
2021-09-05,The Prestige,2006,https://boxd.it/293w
2021-09-05,Interstellar,2014,https://boxd.it/4VZ8
2021-09-05,The Second Tragic Fantozzi,1976,https://boxd.it/17yK
2021-09-05,Fight Club,1999,https://boxd.it/2a9q
2021-09-05,Citizen Kane,1941,https://boxd.it/71O
2021-09-05,Suspiria,1977,https://boxd.it/1SNW
2021-09-05,A Quiet Place,2018,https://boxd.it/fVJQ
2021-09-05,Escape from New York,1981,https://boxd.it/294k
2021-09-05,Blade Runner,1982,https://boxd.it/2bcA
2021-09-05,Annie Hall,1977,https://boxd.it/29M2
2021-09-05,Raiders of the Lost Ark,1981,https://boxd.it/2bbs
2021-09-05,Spirited Away,2001,https://boxd.it/2b4m
2021-09-05,V for Vendetta,2005,https://boxd.it/29Ik
2021-09-05,The Matrix,1999,https://boxd.it/2a1m
2021-09-05,Million Dollar Baby,2004,https://boxd.it/2bdI
2021-09-05,The Last Emperor,1987,https://boxd.it/29Ji
2021-09-05,The New Monsters,1977,https://boxd.it/Qzw
2021-09-05,Skyfall,2012,https://boxd.it/17Fc
2021-09-05,Scarface,1983,https://boxd.it/2b7g
2021-09-05,The Untouchables,1987,https://boxd.it/2b6i
2021-09-06,The Blues Brothers,1980,https://boxd.it/2adi
2021-09-06,Being John Malkovich,1999,https://boxd.it/2ahu
2021-09-06,Cars,2006,https://boxd.it/29ho
2021-09-06,Cars 2,2011,https://boxd.it/H4Y
2021-09-06,Toy Story,1995,https://boxd.it/29qA
2021-09-06,Lost in Translation,2003,https://boxd.it/2b0E
2021-09-06,Lost Highway,1997,https://boxd.it/29Wc
2021-09-06,Rush,2013,https://boxd.it/3lyS
2021-09-06,Shrek,2001,https://boxd.it/29zi
2021-09-06,Thunderbolt and Lightfoot,1974,https://boxd.it/20jK
2021-09-06,Horse Fever,1976,https://boxd.it/15Om
2021-09-06,The Royal Tenenbaums,2001,https://boxd.it/1YHU
2021-09-20,Gran Torino,2008,https://boxd.it/1Qzy
2021-09-20,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY
2021-09-20,Forrest Gump,1994,https://boxd.it/728
2021-09-20,Ted,2012,https://boxd.it/2pgc
2021-09-21,The Truman Show,1998,https://boxd.it/18U8
2021-10-10,Dune,2021,https://boxd.it/fA7G
2022-03-05,Rear Window,1954,https://boxd.it/2a6Q
2022-03-05,We All Loved Each Other So Much,1974,https://boxd.it/XjK
2022-03-05,Batman Returns,1992,https://boxd.it/2awa
2022-05-01,Deconstructing Harry,1997,https://boxd.it/26xe
2022-05-03,Dog Day Afternoon,1975,https://boxd.it/29bg
2022-05-04,Rocky,1976,https://boxd.it/28Uk
2022-12-17,The Wild Bunch,1969,https://boxd.it/2a5y
2023-02-28,Porco Rosso,1992,https://boxd.it/1Tp2
2025-02-19,The Social Network,2010,https://boxd.it/17ue
2025-04-02,Videodrome,1983,https://boxd.it/29uC
2025-08-07,High and Low,1963,https://boxd.it/1RSc
2025-08-08,Brazil,1985,https://boxd.it/2be2
2025-09-02,The Seventh Seal,1957,https://boxd.it/2ahO
2025-09-02,Unforgiven,1992,https://boxd.it/6Z4
2026-05-26,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/2440
2026-06-10,Compagni di scuola,1988,https://boxd.it/o9K
2026-06-10,The Substance,2024,https://boxd.it/zanS
2026-06-10,Knives Out,2019,https://boxd.it/jWEA
2026-06-10,Kill Bill: Vol. 2,2004,https://boxd.it/2au4
2026-06-10,Reservoir Dogs,1992,https://boxd.it/2agc
2026-06-10,Jaws,1975,https://boxd.it/2a5e
2026-06-10,The Lobster,2015,https://boxd.it/7tnw
2026-06-10,Akira,1988,https://boxd.it/2b1i
2026-06-10,Licorice Pizza,2021,https://boxd.it/qTKY
2026-06-10,The Graduate,1967,https://boxd.it/18Im
2026-06-10,Dogville,2003,https://boxd.it/2a8W
2026-06-10,For a Few Dollars More,1965,https://boxd.it/29eu
