Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-05-19,Film 10/10,,https://boxd.it/UxE02,

Position,Name,Year,URL,Description
1,The Godfather,1972,https://boxd.it/2aNK,
2,Apocalypse Now,1979,https://boxd.it/6ZS,
3,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
4,Blade Runner,1982,https://boxd.it/2bcA,
5,Vertigo,1958,https://boxd.it/2apI,
6,Dial M for Murder,1954,https://boxd.it/2adW,
7,Some Like It Hot,1959,https://boxd.it/2aNA,
8,Spirited Away,2001,https://boxd.it/2b4m,
9,GoodFellas,1990,https://boxd.it/29FA,
10,Casino,1995,https://boxd.it/2ads,
11,Raging Bull,1980,https://boxd.it/28yI,
12,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
13,Blue Velvet,1986,https://boxd.it/29BI,
14,Parasite,2019,https://boxd.it/hTha,
15,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
16,Once Upon a Time in America,1984,https://boxd.it/2aCs,
17,The Godfather Part II,1974,https://boxd.it/2aNq,
18,Manhattan,1979,https://boxd.it/29Na,
19,It's a Wonderful Life,1946,https://boxd.it/28xA,
20,The Blues Brothers,1980,https://boxd.it/2adi,
21,Alien,1979,https://boxd.it/2awY,
