Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-12-09,Film preferiti,,https://boxd.it/jtGMw,

Position,Name,Year,URL,Description
1,The Godfather,1972,https://boxd.it/2aNK,
2,Apocalypse Now,1979,https://boxd.it/6ZS,
3,The Godfather Part II,1974,https://boxd.it/2aNq,
4,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
5,Vertigo,1958,https://boxd.it/2apI,
6,Spirited Away,2001,https://boxd.it/2b4m,
7,Tokyo Godfathers,2003,https://boxd.it/1Qg2,
8,Casino,1995,https://boxd.it/2ads,
9,Snowpiercer,2013,https://boxd.it/3Icg,
10,We All Loved Each Other So Much,1974,https://boxd.it/XjK,
11,GoodFellas,1990,https://boxd.it/29FA,
12,Strangers on a Train,1951,https://boxd.it/29tk,
13,The Man Who Knew Too Much,1956,https://boxd.it/2a5S,
14,Witness for the Prosecution,1957,https://boxd.it/18H4,
15,Rear Window,1954,https://boxd.it/2a6Q,
16,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
17,Dial M for Murder,1954,https://boxd.it/2adW,
18,Deconstructing Harry,1997,https://boxd.it/26xe,
19,The Blues Brothers,1980,https://boxd.it/2adi,
20,The Big Lebowski,1998,https://boxd.it/2b6C,
21,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
22,It's a Wonderful Life,1946,https://boxd.it/28xA,
23,Parasite,2019,https://boxd.it/hTha,
24,Escape from New York,1981,https://boxd.it/294k,
25,Inglourious Basterds,2009,https://boxd.it/1JzG,
26,Once Upon a Time in the West,1968,https://boxd.it/2az4,
27,Fargo,1996,https://boxd.it/2aHM,
28,No Country for Old Men,2007,https://boxd.it/21ew,
29,The Terminator,1984,https://boxd.it/2aQY,
30,For a Few Dollars More,1965,https://boxd.it/29eu,
31,Dirty Harry,1971,https://boxd.it/299E,
32,Invasion of the Body Snatchers,1956,https://boxd.it/1TAa,
33,Boogie Nights,1997,https://boxd.it/23um,
34,The Great Silence,1968,https://boxd.it/1ZlA,
35,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
36,Big Fish,2003,https://boxd.it/2a3M,
37,The Wild Bunch,1969,https://boxd.it/2a5y,
38,Hannah and Her Sisters,1986,https://boxd.it/23jy,
39,Blue Velvet,1986,https://boxd.it/29BI,
40,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
41,eXistenZ,1999,https://boxd.it/27Ni,
42,Some Like It Hot,1959,https://boxd.it/2aNA,
43,Decision to Leave,2022,https://boxd.it/qp9e,
44,Love and Death,1975,https://boxd.it/1TeS,
45,The Graduate,1967,https://boxd.it/18Im,
46,Back to the Future Part II,1989,https://boxd.it/2aYI,
47,Mystic River,2003,https://boxd.it/2aAG,
48,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,
