Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-05-26,Ritmo ,,https://boxd.it/UFuic,

Position,Name,Year,URL,Description
1,Escape from New York,1981,https://boxd.it/294k,
2,Oldboy,2003,https://boxd.it/29R2,
3,Apocalypse Now,1979,https://boxd.it/6ZS,
4,GoodFellas,1990,https://boxd.it/29FA,
5,Casino,1995,https://boxd.it/2ads,
6,The Wolf of Wall Street,2013,https://boxd.it/3C1m,
7,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
8,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
9,Snowpiercer,2013,https://boxd.it/3Icg,
10,Parasite,2019,https://boxd.it/hTha,
11,Akira,1988,https://boxd.it/2b1i,
12,Dead Man's Wire,2025,https://boxd.it/M8wu,
13,Knives Out,2019,https://boxd.it/jWEA,
14,No Other Choice,2025,https://boxd.it/nKiA,
15,Blow Out,1981,https://boxd.it/1TlE,
16,The Prestige,2006,https://boxd.it/293w,
17,The Dark Knight,2008,https://boxd.it/2b0k,
18,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
19,Boogie Nights,1997,https://boxd.it/23um,
20,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
21,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
22,One Battle After Another,2025,https://boxd.it/DUHM,
23,The Last of the Mohicans,1992,https://boxd.it/1YSo,
24,Battle Royale,2000,https://boxd.it/25zS,
