Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-06-02,Underrated,,https://boxd.it/HxWGS,

Position,Name,Year,URL,Description
1,Pleasantville,1998,https://boxd.it/26uY,
2,eXistenZ,1999,https://boxd.it/27Ni,
3,Snowpiercer,2013,https://boxd.it/3Icg,
4,The Great Silence,1968,https://boxd.it/1ZlA,
5,We All Loved Each Other So Much,1974,https://boxd.it/XjK,
6,Invasion of the Body Snatchers,1956,https://boxd.it/1TAa,
7,Deconstructing Harry,1997,https://boxd.it/26xe,
8,Love and Death,1975,https://boxd.it/1TeS,
9,The Wild Bunch,1969,https://boxd.it/2a5y,
10,Tokyo Godfathers,2003,https://boxd.it/1Qg2,
11,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,
12,Jackie Brown,1997,https://boxd.it/2aVO,
13,Boogie Nights,1997,https://boxd.it/23um,
14,The Godfather Part III,1990,https://boxd.it/2aN6,
15,Compagni di scuola,1988,https://boxd.it/o9K,
16,Dirty Harry,1971,https://boxd.it/299E,
17,Escape from New York,1981,https://boxd.it/294k,
18,Being John Malkovich,1999,https://boxd.it/2ahu,
19,Memories,1995,https://boxd.it/Vz2,
20,Battle Royale,2000,https://boxd.it/25zS,
21,Hannah and Her Sisters,1986,https://boxd.it/23jy,
22,Dogville,2003,https://boxd.it/2a8W,
23,The Man Who Knew Too Much,1956,https://boxd.it/2a5S,
24,Dead Man's Wire,2025,https://boxd.it/M8wu,
25,Licorice Pizza,2021,https://boxd.it/qTKY,
26,The Fortune Cookie,1966,https://boxd.it/27W0,
