Date,Name,Year,Letterboxd URI,Rating
2021-09-05,The Godfather,1972,https://boxd.it/2aNK,5
2021-09-05,The Godfather Part II,1974,https://boxd.it/2aNq,5
2021-09-05,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,5
2021-09-05,Once Upon a Time in the West,1968,https://boxd.it/2az4,5
2021-09-05,A Fistful of Dollars,1964,https://boxd.it/2auo,4.5
2021-09-05,Apocalypse Now,1979,https://boxd.it/6ZS,5
2021-09-05,Casino,1995,https://boxd.it/2ads,5
2021-09-05,Raging Bull,1980,https://boxd.it/28yI,5
2021-09-05,GoodFellas,1990,https://boxd.it/29FA,5
2021-09-05,The Terminator,1984,https://boxd.it/2aQY,5
2021-09-05,Parasite,2019,https://boxd.it/hTha,5
2021-09-05,Snowpiercer,2013,https://boxd.it/3Icg,5
2021-09-05,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2021-09-05,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,4.5
2021-09-05,The Big Lebowski,1998,https://boxd.it/2b6C,5
2021-09-05,Fargo,1996,https://boxd.it/2aHM,5
2021-09-05,No Country for Old Men,2007,https://boxd.it/21ew,5
2021-09-05,Big Fish,2003,https://boxd.it/2a3M,5
2021-09-05,The Godfather Part III,1990,https://boxd.it/2aN6,4
2021-09-05,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2021-09-05,Batman,1989,https://boxd.it/2aIU,3.5
2021-09-05,The Second Tragic Fantozzi,1976,https://boxd.it/17yK,5
2021-09-05,The Social Network,2010,https://boxd.it/17ue,4
2021-09-05,Pitch Perfect,2012,https://boxd.it/3OsE,0.5
2021-09-05,Escape from New York,1981,https://boxd.it/294k,5
2021-09-05,Blade Runner,1982,https://boxd.it/2bcA,5
2021-09-05,The King of Comedy,1982,https://boxd.it/2aJS,4
2021-09-05,Spirited Away,2001,https://boxd.it/2b4m,5
2021-09-05,The Matrix,1999,https://boxd.it/2a1m,5
2021-09-06,The Blues Brothers,1980,https://boxd.it/2adi,5
2021-09-06,Toy Story,1995,https://boxd.it/29qA,5
2021-09-06,Lost in Translation,2003,https://boxd.it/2b0E,4.5
2021-09-06,Shrek,2001,https://boxd.it/29zi,5
2021-09-20,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,5
2021-09-20,Tolo Tolo,2020,https://boxd.it/lRIm,2
2021-09-21,The Truman Show,1998,https://boxd.it/18U8,5
2021-10-10,Dune,2021,https://boxd.it/fA7G,4
2022-03-05,Rear Window,1954,https://boxd.it/2a6Q,5
2022-03-05,We All Loved Each Other So Much,1974,https://boxd.it/XjK,5
2022-05-03,Inception,2010,https://boxd.it/1skk,4
