Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-04-08,Mulholland Drive,2001,https://boxd.it/9lGWXZ,5,,"Il maestro David Lynch oltre ad aver inserito una scena lesbo ben prima dell'ondata woke pone un interrogativo che attanaglia da sempre il genere maschile: ""Faccia bella tette piccole, o faccia brutta tette grandi?"" Cit. Zampa",,2025-04-07
2025-06-19,L.A. Confidential,1997,https://boxd.it/a2YuoF,4.5,Yes,Riassunto del film: Rollo Tomasi,,2025-06-19
2025-07-20,Some Like It Hot,1959,https://boxd.it/aoJg1F,,Yes,"Be', nessuno è perfetto",,2025-07-20
2025-07-21,The Apartment,1960,https://boxd.it/apkXld,,,È così che gira il mondo,,2025-07-20
2025-07-25,F1,2025,https://boxd.it/asRAkz,2.5,,Kosinski dovrebbe girare pubblicità di profumi,,2025-07-25
2025-07-26,Challengers,2024,https://boxd.it/atezB1,2.5,,Uno più allupato di Guadagnino non l'ho mai visto,,2025-07-25
2025-07-26,The Night of the Hunter,1955,https://boxd.it/atCtQH,5,,"""I bambini sono più forti degli uomini. Essi resistono""",,2025-07-26
2025-07-27,Fantastic Mr. Fox,2009,https://boxd.it/au4CMb,4.5,,Moccolo,,2025-07-26
2025-07-30,Witness for the Prosecution,1957,https://boxd.it/awQDo9,5,,Charles Laughton goated,,2025-07-29
2025-09-20,Thief,1981,https://boxd.it/b7nuy5,,,James Caan aura infinita,,2025-09-20
2025-09-22,Grave of the Fireflies,1988,https://boxd.it/b8qCMp,,,"Se non hai avuto gli occhi lucidi dopo aver visto questo film, non hai un cuore",,2025-09-20
2025-09-26,One Battle After Another,2025,https://boxd.it/bb2hm5,,,"Ufficiale: abbiamo il film dell'anno, forse della decade...",,2025-09-26
2025-10-15,Battle Royale,2000,https://boxd.it/bn5jq3,,,"<blockquote>Film preferito di tarantino e si vede. Sangue a palate, scene che sembrano uscite da un anime e tanto divertimento. Però sto fetish per le fontane di sangue è un pò inquietante </blockquote>",,2025-10-14
2025-10-25,Bugonia,2025,https://boxd.it/btFfIj,,,"<blockquote>Film che funziona sia nella parte comedy, con il ciccione che fa morire dal ridere  sia nella parte thriller che sa essere cupa e violenta. Bellissime visivamente le scene in bianco e nero e quelle girate nello scantinato con i tagli di luce spettacolari sui volti dei personaggi. Finale molto ambiguo che devo ancora metabolizzare. </blockquote>",,2025-10-25
2025-11-06,Pierrot le Fou,1965,https://boxd.it/bCfmuH,,,"Pensavo di rompermi le palle visto lo stereotipo dei film francesi, invece mi ha sorpreso. Probabilmente uno stile che non avevo mai visto, l'uso dei colori è incredibile e ci sono 2/3 sequenze geniali. Però quell'aria irrirante da intellettuale radical chic francese non è solo uno stereotipo e c'è anche in alcune parti di questo film.
Comunque Godard mi rimani sul cazzo anche se sai oggettivamente girare troppo bene.",,2025-11-06
2025-12-06,Angel's Egg,1985,https://boxd.it/bWD1z5,,,Bho non ci ho capito molto,,2025-12-06
2025-12-17,BlacKkKlansman,2018,https://boxd.it/c4H1HN,,,Uno dei finali più goduriosi di sempre,,2025-12-16
