Date,Name,Year,Letterboxd URI
2021-09-05,The Godfather,1972,https://boxd.it/2aNK
2021-09-05,The Godfather Part II,1974,https://boxd.it/2aNq
2021-09-05,The Godfather Part III,1990,https://boxd.it/2aN6
2021-09-05,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape
2021-09-05,Once Upon a Time in the West,1968,https://boxd.it/2az4
2021-09-05,Once Upon a Time in America,1984,https://boxd.it/2aCs
2021-09-05,"Duck, You Sucker",1971,https://boxd.it/2ayU
2021-09-05,A Fistful of Dollars,1964,https://boxd.it/2auo
2021-09-05,For a Few Dollars More,1965,https://boxd.it/29eu
2021-09-05,Apocalypse Now,1979,https://boxd.it/6ZS
2021-09-05,The Conversation,1974,https://boxd.it/2a38
2021-09-05,Casino,1995,https://boxd.it/2ads
2021-09-05,Raging Bull,1980,https://boxd.it/28yI
2021-09-05,Taxi Driver,1976,https://boxd.it/2b8y
2021-09-05,GoodFellas,1990,https://boxd.it/29FA
2021-09-05,The Departed,2006,https://boxd.it/28MA
2021-09-05,The Irishman,2019,https://boxd.it/dYOq
2021-09-05,Shutter Island,2010,https://boxd.it/1U82
2021-09-05,The Terminator,1984,https://boxd.it/2aQY
2021-09-05,Parasite,2019,https://boxd.it/hTha
2021-09-05,Snowpiercer,2013,https://boxd.it/3Icg
2021-09-05,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O
2021-09-05,Inglourious Basterds,2009,https://boxd.it/1JzG
2021-09-05,Pulp Fiction,1994,https://boxd.it/29Pq
2021-09-05,Jackie Brown,1997,https://boxd.it/2aVO
2021-09-05,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2021-09-05,Kill Bill: Vol. 2,2004,https://boxd.it/2au4
2021-09-05,The Hateful Eight,2015,https://boxd.it/8gw8
2021-09-05,Django Unchained,2012,https://boxd.it/2cCk
2021-09-05,Roma,1972,https://boxd.it/1UNO
2021-09-05,The Big Lebowski,1998,https://boxd.it/2b6C
2021-09-05,Fargo,1996,https://boxd.it/2aHM
2021-09-05,No Country for Old Men,2007,https://boxd.it/21ew
2021-09-05,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q
2021-09-05,Big Fish,2003,https://boxd.it/2a3M
2021-09-05,Jaws,1975,https://boxd.it/2a5e
2021-09-05,Top Gun,1986,https://boxd.it/29JC
2021-09-05,Saving Private Ryan,1998,https://boxd.it/29ro
2021-09-05,Full Metal Jacket,1987,https://boxd.it/2a1Q
2021-09-05,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2021-09-05,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2021-09-05,Spider-Man,2002,https://boxd.it/2a8i
2021-09-05,Spider-Man 2,2004,https://boxd.it/2a88
2021-09-05,Batman,1989,https://boxd.it/2aIU
2021-09-05,The Dark Knight,2008,https://boxd.it/2b0k
2021-09-05,Inception,2010,https://boxd.it/1skk
2021-09-05,The Prestige,2006,https://boxd.it/293w
2021-09-05,Interstellar,2014,https://boxd.it/4VZ8
2021-09-05,Dunkirk,2017,https://boxd.it/d0Y6
2021-09-05,Joker,2019,https://boxd.it/h4cS
2021-09-05,The Second Tragic Fantozzi,1976,https://boxd.it/17yK
2021-09-05,Fight Club,1999,https://boxd.it/2a9q
2021-09-05,The Social Network,2010,https://boxd.it/17ue
2021-09-05,The Suicide Squad,2021,https://boxd.it/fw6O
2021-09-05,Citizen Kane,1941,https://boxd.it/71O
2021-09-05,Suspiria,1977,https://boxd.it/1SNW
2021-09-05,A Quiet Place,2018,https://boxd.it/fVJQ
2021-09-05,Pitch Perfect,2012,https://boxd.it/3OsE
2021-09-05,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW
2021-09-05,Escape from New York,1981,https://boxd.it/294k
2021-09-05,Blade Runner,1982,https://boxd.it/2bcA
2021-09-05,Gladiator,2000,https://boxd.it/2b9m
2021-09-05,The King of Comedy,1982,https://boxd.it/2aJS
2021-09-05,Annie Hall,1977,https://boxd.it/29M2
2021-09-05,The Silence of the Lambs,1991,https://boxd.it/2aHW
2021-09-05,Raiders of the Lost Ark,1981,https://boxd.it/2bbs
2021-09-05,Pixels,2015,https://boxd.it/7BaA
2021-09-05,Godzilla,2014,https://boxd.it/47OE
2021-09-05,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y
2021-09-05,Inside Out,2015,https://boxd.it/4KHC
2021-09-05,Spirited Away,2001,https://boxd.it/2b4m
2021-09-05,V for Vendetta,2005,https://boxd.it/29Ik
2021-09-05,Mr. Nobody,2009,https://boxd.it/1k44
2021-09-05,The Matrix,1999,https://boxd.it/2a1m
2021-09-05,Unforgiven,1992,https://boxd.it/6Z4
2021-09-05,Million Dollar Baby,2004,https://boxd.it/2bdI
2021-09-05,Mank,2020,https://boxd.it/mIuC
2021-09-05,The Last Emperor,1987,https://boxd.it/29Ji
2021-09-05,Investigation of a Citizen Above Suspicion,1970,https://boxd.it/1tRY
2021-09-05,The New Monsters,1977,https://boxd.it/Qzw
2021-09-05,Porco Rosso,1992,https://boxd.it/1Tp2
2021-09-05,Skyfall,2012,https://boxd.it/17Fc
2021-09-05,Scarface,1983,https://boxd.it/2b7g
2021-09-05,The Untouchables,1987,https://boxd.it/2b6i
2021-09-06,The Blues Brothers,1980,https://boxd.it/2adi
2021-09-06,Being John Malkovich,1999,https://boxd.it/2ahu
2021-09-06,Cars,2006,https://boxd.it/29ho
2021-09-06,Cars 2,2011,https://boxd.it/H4Y
2021-09-06,Toy Story,1995,https://boxd.it/29qA
