Date,Name,Year,Letterboxd URI
2021-09-14,A Clockwork Orange,1971,https://boxd.it/2aVE
2021-09-14,The Matrix Reloaded,2003,https://boxd.it/2a1c
2021-09-14,The Matrix Revolutions,2003,https://boxd.it/2a12
2021-09-14,Sonatine,1993,https://boxd.it/20TI
2021-09-14,The Wind Rises,2013,https://boxd.it/4JQS
2021-09-14,Princess Mononoke,1997,https://boxd.it/2b4w
2021-09-20,The Thing,1982,https://boxd.it/294O
2021-09-20,They Live,1988,https://boxd.it/20lm
2022-01-18,Drag Me to Hell,2009,https://boxd.it/1Jzw
2022-01-22,Eastern Promises,2007,https://boxd.it/275q
2022-01-22,The Fly,1986,https://boxd.it/1YIe
2022-01-22,Bram Stoker's Dracula,1992,https://boxd.it/223a
2022-05-03,Serpico,1973,https://boxd.it/1ZjE
2022-05-03,American Psycho,2000,https://boxd.it/28Vs
2022-05-04,The Sting,1973,https://boxd.it/1Z5s
2022-05-09,Satyricon,1969,https://boxd.it/1UtY
2022-05-09,Fellini's Casanova,1976,https://boxd.it/Xp4
2022-05-09,Jeremiah Johnson,1972,https://boxd.it/1SIi
2022-05-17,Seven Samurai,1954,https://boxd.it/2axi
2022-12-31,Dreams,1990,https://boxd.it/1ROu
2023-01-26,Catch Me If You Can,2002,https://boxd.it/29VS
2023-03-18,Close Encounters of the Third Kind,1977,https://boxd.it/29u8
2023-03-18,The Elephant Man,1980,https://boxd.it/27LQ
2025-01-19,Drive,2011,https://boxd.it/IG
2025-03-01,The Big Sleep,1946,https://boxd.it/29iQ
2025-04-02,Life of Brian,1979,https://boxd.it/2a4q
2025-04-02,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA
2025-04-02,The Wicker Man,1973,https://boxd.it/1KnG
2025-04-02,The Fall,2006,https://boxd.it/1NoM
2025-04-05,I Saw the Devil,2010,https://boxd.it/FaK
2025-04-05,The Usual Suspects,1995,https://boxd.it/29XE
2025-04-06,Sunset Boulevard,1950,https://boxd.it/2a20
2025-04-06,PlayTime,1967,https://boxd.it/1WLK
2025-04-06,Enter the Void,2009,https://boxd.it/1dy2
2025-04-06,Good Time,2017,https://boxd.it/fcFu
2025-04-06,"Paris, Texas",1984,https://boxd.it/29Ts
2025-04-06,The Florida Project,2017,https://boxd.it/dMG0
2025-04-09,House,1977,https://boxd.it/1vsm
2025-04-11,Hero,2002,https://boxd.it/2bcq
