film,raters,average,spread,std dev,beap2,bigguccisosa777,faustozampa,will22
No Country for Old Men (2007),3,4.833333333333333,0.5,0.23570226039551584,,4.5,5.0,5.0
Parasite (2019),3,4.833333333333333,0.5,0.23570226039551584,4.5,,5.0,5.0
Forrest Gump (1994),3,4.666666666666667,1.0,0.4714045207910317,5.0,,5.0,4.0
GoodFellas (1990),3,4.666666666666667,1.0,0.4714045207910317,4.0,5.0,,5.0
Prisoners (2013),3,4.666666666666667,1.0,0.4714045207910317,5.0,4.0,5.0,
Se7en (1995),3,4.666666666666667,1.0,0.4714045207910317,,5.0,5.0,4.0
The Social Network (2010),3,4.666666666666667,1.0,0.4714045207910317,5.0,,5.0,4.0
We All Loved Each Other So Much (1974),3,4.666666666666667,1.0,0.4714045207910317,4.0,5.0,,5.0
In the Mood for Love (2000),4,4.5,0.0,0.0,4.5,4.5,4.5,4.5
Il Sorpasso (1962),3,4.5,0.0,0.0,4.5,4.5,,4.5
The Wolf of Wall Street (2013),4,4.5,1.0,0.5,4.0,5.0,5.0,4.0
Fantastic Mr. Fox (2009),3,4.5,1.0,0.408248290463863,4.0,5.0,,4.5
Pulp Fiction (1994),3,4.5,1.0,0.408248290463863,4.0,5.0,,4.5
The Truman Show (1998),3,4.5,1.0,0.408248290463863,4.0,,4.5,5.0
Witness for the Prosecution (1957),3,4.5,1.0,0.408248290463863,,4.5,4.0,5.0
Decision to Leave (2022),4,4.375,1.0,0.414578098794425,4.0,4.5,4.0,5.0
Marty Supreme (2025),3,4.333333333333333,0.5,0.23570226039551584,4.5,4.5,4.0,
Oldboy (2003),4,4.25,0.5,0.25,4.5,4.0,4.0,4.5
Shutter Island (2010),3,4.166666666666667,0.5,0.23570226039551584,4.0,,4.5,4.0
Gone Girl (2014),3,4.166666666666667,1.0,0.4714045207910317,4.5,3.5,4.5,
Inception (2010),3,4.0,0.0,0.0,4.0,,4.0,4.0
Joker (2019),3,4.0,1.0,0.408248290463863,4.0,,4.5,3.5
Punch-Drunk Love (2002),3,4.0,1.0,0.408248290463863,4.5,4.0,3.5,
