film,raters,average,spread,std dev,beap2,bigguccisosa777,faustozampa,will22
2001: A Space Odyssey (1968),4,4.0,3.0,1.224744871391589,4.0,5.0,2.0,5.0
Barry Lyndon (1975),4,3.5,2.0,0.7905694150420949,3.0,4.0,2.5,4.5
Blade Runner (1982),4,4.5,1.5,0.6123724356957945,4.5,5.0,3.5,5.0
Challengers (2024),4,3.5,1.5,0.6123724356957945,4.0,3.5,4.0,2.5
Decision to Leave (2022),4,4.375,1.0,0.414578098794425,4.0,4.5,4.0,5.0
In the Mood for Love (2000),4,4.5,0.0,0.0,4.5,4.5,4.5,4.5
La La Land (2016),4,4.5,1.5,0.6123724356957945,5.0,3.5,5.0,4.5
Mulholland Drive (2001),4,4.125,1.5,0.649519052838329,4.5,3.5,3.5,5.0
Oldboy (2003),4,4.25,0.5,0.25,4.5,4.0,4.0,4.5
Oppenheimer (2023),4,3.375,1.5,0.649519052838329,3.0,4.0,2.5,4.0
The Grand Budapest Hotel (2014),4,4.25,1.5,0.5590169943749475,3.5,5.0,4.5,4.0
The Wolf of Wall Street (2013),4,4.5,1.0,0.5,4.0,5.0,5.0,4.0
American Beauty (1999),3,3.0,2.5,1.0801234497346435,4.5,2.5,2.0,
Anora (2024),3,3.3333333333333335,1.0,0.4714045207910317,4.0,3.0,3.0,
Arrival (2016),3,2.8333333333333335,0.5,0.23570226039551584,3.0,3.0,2.5,
Barbie (2023),3,1.8333333333333333,0.5,0.23570226039551584,2.0,1.5,,2.0
Big Fish (2003),3,3.8333333333333335,2.0,0.8498365855987975,3.0,3.5,,5.0
Compagni di scuola (1988),3,3.6666666666666665,1.0,0.4714045207910317,3.0,4.0,,4.0
Conclave (2024),3,2.3333333333333335,1.5,0.6236095644623235,3.0,2.5,1.5,
Demolition (2015),3,4.0,2.0,0.816496580927726,4.0,3.0,5.0,
Django Unchained (2012),3,4.0,2.0,0.816496580927726,3.0,5.0,,4.0
Dune: Part Two (2024),3,4.0,2.0,0.816496580927726,5.0,3.0,,4.0
Ex Machina (2015),3,3.8333333333333335,2.5,1.0274023338281628,4.0,2.5,5.0,
Eyes Wide Shut (1999),3,4.0,2.5,1.0801234497346435,4.5,5.0,2.5,
Fantastic Mr. Fox (2009),3,4.5,1.0,0.408248290463863,4.0,5.0,,4.5
Fight Club (1999),3,3.5,1.0,0.408248290463863,3.0,,3.5,4.0
Forrest Gump (1994),3,4.666666666666667,1.0,0.4714045207910317,5.0,,5.0,4.0
Gone Girl (2014),3,4.166666666666667,1.0,0.4714045207910317,4.5,3.5,4.5,
Good Time (2017),3,3.8333333333333335,1.5,0.6236095644623235,4.0,3.0,4.5,
GoodFellas (1990),3,4.666666666666667,1.0,0.4714045207910317,4.0,5.0,,5.0
Hannah and Her Sisters (1986),3,4.166666666666667,1.5,0.6236095644623235,4.0,3.5,,5.0
Il Sorpasso (1962),3,4.5,0.0,0.0,4.5,4.5,,4.5
Inception (2010),3,4.0,0.0,0.0,4.0,,4.0,4.0
Inglourious Basterds (2009),3,4.166666666666667,1.5,0.6236095644623235,4.0,,3.5,5.0
Interstellar (2014),3,4.333333333333333,1.5,0.6236095644623235,4.5,,5.0,3.5
Joker (2019),3,4.0,1.0,0.408248290463863,4.0,,4.5,3.5
Kill Bill: Vol. 1 (2003),3,3.3333333333333335,1.0,0.4714045207910317,4.0,,3.0,3.0
Kill Bill: Vol. 2 (2004),3,3.3333333333333335,2.0,0.8498365855987975,3.0,,2.5,4.5
Marty Supreme (2025),3,4.333333333333333,0.5,0.23570226039551584,4.5,4.5,4.0,
Memento (2000),3,3.6666666666666665,1.0,0.4714045207910317,3.0,4.0,4.0,
Mystic River (2003),3,3.1666666666666665,4.0,1.649915822768611,,3.5,1.0,5.0
No Country for Old Men (2007),3,4.833333333333333,0.5,0.23570226039551584,,4.5,5.0,5.0
No Other Choice (2025),3,3.8333333333333335,0.5,0.23570226039551584,4.0,4.0,3.5,
Nosferatu (2024),3,3.0,2.5,1.0801234497346435,,4.0,1.5,3.5
Parasite (2019),3,4.833333333333333,0.5,0.23570226039551584,4.5,,5.0,5.0
Prisoners (2013),3,4.666666666666667,1.0,0.4714045207910317,5.0,4.0,5.0,
Project Hail Mary (2026),3,2.8333333333333335,3.0,1.247219128924647,2.5,4.5,1.5,
Psycho (1960),3,3.8333333333333335,0.5,0.23570226039551584,,4.0,3.5,4.0
Pulp Fiction (1994),3,4.5,1.0,0.408248290463863,4.0,5.0,,4.5
Punch-Drunk Love (2002),3,4.0,1.0,0.408248290463863,4.5,4.0,3.5,
Se7en (1995),3,4.666666666666667,1.0,0.4714045207910317,,5.0,5.0,4.0
Shutter Island (2010),3,4.166666666666667,0.5,0.23570226039551584,4.0,,4.5,4.0
Sinners (2025),3,3.3333333333333335,1.5,0.6236095644623235,,4.0,2.5,3.5
The Drama (2026),3,3.8333333333333335,1.5,0.6236095644623235,4.0,3.0,4.5,
The Menu (2022),3,3.1666666666666665,0.5,0.23570226039551584,,3.0,3.5,3.0
