film,outlier,direction,outlier rating,others average,difference
Mystic River (2003),faustozampa,lower,1.0,4.25,-3.25
Mystic River (2003),will22,higher,5.0,2.25,2.75
2001: A Space Odyssey (1968),faustozampa,lower,2.0,4.666666666666667,-2.666666666666667
Project Hail Mary (2026),bigguccisosa777,higher,4.5,2.0,2.5
The Substance (2024),faustozampa,lower,2.0,4.5,-2.5
Vertigo (1958),faustozampa,lower,2.5,5.0,-2.5
American Beauty (1999),beap2,higher,4.5,2.25,2.25
Eyes Wide Shut (1999),faustozampa,lower,2.5,4.75,-2.25
Nosferatu (2024),faustozampa,lower,1.5,3.75,-2.25
Ex Machina (2015),bigguccisosa777,lower,2.5,4.5,-2.0
Project Hail Mary (2026),faustozampa,lower,1.5,3.5,-2.0
Big Fish (2003),will22,higher,5.0,3.25,1.75
Ex Machina (2015),faustozampa,higher,5.0,3.25,1.75
Kill Bill: Vol. 2 (2004),will22,higher,4.5,2.75,1.75
American Beauty (1999),faustozampa,lower,2.0,3.5,-1.5
Demolition (2015),bigguccisosa777,lower,3.0,4.5,-1.5
Demolition (2015),faustozampa,higher,5.0,3.5,1.5
Django Unchained (2012),beap2,lower,3.0,4.5,-1.5
Django Unchained (2012),bigguccisosa777,higher,5.0,3.5,1.5
Dune: Part Two (2024),beap2,higher,5.0,3.5,1.5
Dune: Part Two (2024),bigguccisosa777,lower,3.0,4.5,-1.5
Eyes Wide Shut (1999),bigguccisosa777,higher,5.0,3.5,1.5
Nosferatu (2024),bigguccisosa777,higher,4.0,2.5,1.5
